jrc_event_id,jrc_event_start_date,jrc_event_end_date,jrc_total_communes,jrc_total_nuts3,jrc_total_departments
WD_MERGE_2018-10-08---2018-10-22_duration_14_days_cluster_240_A0_000050_A_000064_lat_05109_lon_-0295_size_0131,2018-10-08,2018-10-22,78,5,5
WD_MERGE_2018-10-15---2018-10-22_duration_7_days_cluster_252_A0_000003_A_000003_lat_04838_lon_00897_size_0061,2018-10-15,2018-10-22,7,1,1
WD_MERGE_2018-11-05---2018-11-26_duration_21_days_cluster_282_A0_000009_A_000011_lat_04856_lon_-0342_size_0108,2018-11-05,2018-11-26,47,5,5
WD_MERGE_2018-11-12---2018-11-26_duration_14_days_cluster_296_A0_000083_A_000097_lat_05330_lon_01073_size_0063,2018-11-12,2018-11-26,2,1,1
WD_MERGE_2018-11-26---2018-12-03_duration_7_days_cluster_314_A0_000056_A_000068_lat_05228_lon_-0203_size_0207,2018-11-26,2018-12-03,2,1,1
WD_MERGE_2018-12-03---2019-01-07_duration_35_days_cluster_328_A0_000018_A_000021_lat_04628_lon_00810_size_0137,2018-12-03,2019-01-07,44,4,4
WD_MERGE_2018-12-03---2019-01-07_duration_35_days_cluster_382_A0_000421_A_000528_lat_05199_lon_-0118_size_0484,2018-12-03,2019-01-07,331,20,20
WD_MERGE_2018-12-31---2019-02-04_duration_35_days_cluster_003_A0_000514_A_000635_lat_05181_lon_01396_size_0516,2018-12-31,2019-02-04,15,2,2
WD_MERGE_2019-01-21---2019-02-11_duration_21_days_cluster_026_A0_000107_A_000135_lat_03926_lon_-0446_size_0406,2019-01-21,2019-02-11,60,2,2
WD_MERGE_2019-01-21---2019-02-25_duration_28_days_cluster_027_A0_000234_A_000293_lat_04921_lon_00044_size_0162,2019-01-21,2019-02-25,588,25,25
WD_MERGE_2019-01-28---2019-02-11_duration_14_days_cluster_035_A0_000004_A_000006_lat_04368_lon_00444_size_0026,2019-01-28,2019-02-11,23,6,6
WD_MERGE_2019-02-18---2019-02-25_duration_7_days_cluster_058_A0_000018_A_000023_lat_04784_lon_-0277_size_0040,2019-02-18,2019-02-25,60,3,3
WD_MERGE_2019-03-04---2019-04-08_duration_28_days_cluster_333_A0_000653_A_000885_lat_05154_lon_00036_size_0450,2019-03-04,2019-04-08,748,26,26
WD_MERGE_2019-04-01---2019-04-08_duration_7_days_cluster_084_A0_000011_A_000014_lat_04962_lon_-0311_size_0106,2019-04-01,2019-04-08,15,2,2
